"filename", "language", "C++", "Markdown", "Makefile", "CMake", "Shell Script", "Batch", "YAML", "HTML", "SCSS", "Python", "comment", "blank", "total"
"/Users/jackgezalian/Development/C++ Projects/ray_tracer_challenge/CMakeLists.txt", "CMake", 0, 0, 0, 60, 0, 0, 0, 0, 0, 0, 0, 5, 65
"/Users/jackgezalian/Development/C++ Projects/ray_tracer_challenge/README.md", "Markdown", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2
"/Users/jackgezalian/Development/C++ Projects/ray_tracer_challenge/_deps/googletest-build/Makefile", "Makefile", 0, 0, 102, 0, 0, 0, 0, 0, 0, 0, 51, 48, 201
"/Users/jackgezalian/Development/C++ Projects/ray_tracer_challenge/_deps/googletest-build/googlemock/Makefile", "Makefile", 0, 0, 156, 0, 0, 0, 0, 0, 0, 0, 63, 66, 285
"/Users/jackgezalian/Development/C++ Projects/ray_tracer_challenge/_deps/googletest-build/googletest/Makefile", "Makefile", 0, 0, 156, 0, 0, 0, 0, 0, 0, 0, 63, 66, 285
"/Users/jackgezalian/Development/C++ Projects/ray_tracer_challenge/_deps/googletest-src/.github/ISSUE_TEMPLATE/00-bug_report.yml", "YAML", 0, 0, 0, 0, 0, 0, 53, 0, 0, 0, 0, 1, 54
"/Users/jackgezalian/Development/C++ Projects/ray_tracer_challenge/_deps/googletest-src/.github/ISSUE_TEMPLATE/10-feature_request.yml", "YAML", 0, 0, 0, 0, 0, 0, 33, 0, 0, 0, 0, 1, 34
"/Users/jackgezalian/Development/C++ Projects/ray_tracer_challenge/_deps/googletest-src/.github/ISSUE_TEMPLATE/config.yml", "YAML", 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 1, 6
"/Users/jackgezalian/Development/C++ Projects/ray_tracer_challenge/_deps/googletest-src/CMakeLists.txt", "CMake", 0, 0, 0, 28, 0, 0, 0, 0, 0, 0, 0, 9, 37
"/Users/jackgezalian/Development/C++ Projects/ray_tracer_challenge/_deps/googletest-src/CONTRIBUTING.md", "Markdown", 0, 107, 0, 0, 0, 0, 0, 0, 0, 0, 0, 35, 142
"/Users/jackgezalian/Development/C++ Projects/ray_tracer_challenge/_deps/googletest-src/README.md", "Markdown", 0, 100, 0, 0, 0, 0, 0, 0, 0, 0, 0, 34, 134
"/Users/jackgezalian/Development/C++ Projects/ray_tracer_challenge/_deps/googletest-src/ci/linux-presubmit.sh", "Shell Script", 0, 0, 0, 0, 113, 0, 0, 0, 0, 0, 35, 10, 158
"/Users/jackgezalian/Development/C++ Projects/ray_tracer_challenge/_deps/googletest-src/ci/macos-presubmit.sh", "Shell Script", 0, 0, 0, 0, 39, 0, 0, 0, 0, 0, 34, 8, 81
"/Users/jackgezalian/Development/C++ Projects/ray_tracer_challenge/_deps/googletest-src/ci/windows-presubmit.bat", "Batch", 0, 0, 0, 0, 0, 54, 0, 0, 0, 0, 9, 13, 76
"/Users/jackgezalian/Development/C++ Projects/ray_tracer_challenge/_deps/googletest-src/docs/_config.yml", "YAML", 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 2
"/Users/jackgezalian/Development/C++ Projects/ray_tracer_challenge/_deps/googletest-src/docs/_data/navigation.yml", "YAML", 0, 0, 0, 0, 0, 0, 43, 0, 0, 0, 0, 1, 44
"/Users/jackgezalian/Development/C++ Projects/ray_tracer_challenge/_deps/googletest-src/docs/_layouts/default.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 57, 0, 0, 0, 2, 59
"/Users/jackgezalian/Development/C++ Projects/ray_tracer_challenge/_deps/googletest-src/docs/_sass/main.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 161, 0, 3, 37, 201
"/Users/jackgezalian/Development/C++ Projects/ray_tracer_challenge/_deps/googletest-src/docs/advanced.md", "Markdown", 0, 1953, 0, 0, 0, 0, 0, 0, 0, 0, 0, 514, 2467
"/Users/jackgezalian/Development/C++ Projects/ray_tracer_challenge/_deps/googletest-src/docs/assets/css/style.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 2, 6
"/Users/jackgezalian/Development/C++ Projects/ray_tracer_challenge/_deps/googletest-src/docs/community_created_documentation.md", "Markdown", 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 8
"/Users/jackgezalian/Development/C++ Projects/ray_tracer_challenge/_deps/googletest-src/docs/faq.md", "Markdown", 0, 508, 0, 0, 0, 0, 0, 0, 0, 0, 0, 151, 659
"/Users/jackgezalian/Development/C++ Projects/ray_tracer_challenge/_deps/googletest-src/docs/gmock_cheat_sheet.md", "Markdown", 0, 181, 0, 0, 0, 0, 0, 0, 0, 0, 0, 61, 242
"/Users/jackgezalian/Development/C++ Projects/ray_tracer_challenge/_deps/googletest-src/docs/gmock_cook_book.md", "Markdown", 0, 3485, 0, 0, 0, 0, 0, 0, 0, 0, 2, 926, 4413
"/Users/jackgezalian/Development/C++ Projects/ray_tracer_challenge/_deps/googletest-src/docs/gmock_faq.md", "Markdown", 0, 301, 0, 0, 0, 0, 0, 0, 0, 0, 0, 90, 391
