Date : 2025-10-22 17:04:42
Directory : /Users/jackgezalian/Development/C++ Projects/ray_tracer_challenge
Total : 272 files,  71952 codes, 23174 comments, 17901 blanks, all 113027 lines

Languages
+--------------+------------+------------+------------+------------+------------+
| language     | files      | code       | comment    | blank      | total      |
+--------------+------------+------------+------------+------------+------------+
| C++          |        193 |     55,624 |     20,899 |     13,358 |     89,881 |
| Markdown     |         28 |     10,429 |          3 |      3,268 |     13,700 |
| Python       |         31 |      4,278 |      1,968 |        858 |      7,104 |
| CMake        |          5 |        569 |          0 |        118 |        687 |
| Makefile     |          4 |        489 |        223 |        222 |        934 |
| SCSS         |          2 |        165 |          3 |         39 |        207 |
| Shell Script |          2 |        152 |         69 |         18 |        239 |
| YAML         |          5 |        135 |          0 |          5 |        140 |
| HTML         |          1 |         57 |          0 |          2 |         59 |
| Batch        |          1 |         54 |          9 |         13 |         76 |
+--------------+------------+------------+------------+------------+------------+

Directories
+----------------------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                                                                 | files      | code       | comment    | blank      | total      |
+----------------------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                                                                    |        272 |     71,952 |     23,174 |     17,901 |    113,027 |
| . (Files)                                                                                                                                                            |          2 |         61 |          0 |          6 |         67 |
| _deps                                                                                                                                                                |        234 |     70,365 |     23,163 |     17,563 |    111,091 |
| _deps/googletest-build                                                                                                                                               |          3 |        414 |        177 |        180 |        771 |
| _deps/googletest-build (Files)                                                                                                                                       |          1 |        102 |         51 |         48 |        201 |
| _deps/googletest-build/googlemock                                                                                                                                    |          1 |        156 |         63 |         66 |        285 |
| _deps/googletest-build/googletest                                                                                                                                    |          1 |        156 |         63 |         66 |        285 |
| _deps/googletest-src                                                                                                                                                 |        229 |     69,844 |     22,940 |     17,330 |    110,114 |
| _deps/googletest-src (Files)                                                                                                                                         |          3 |        235 |          0 |         78 |        313 |
| _deps/googletest-src/.github                                                                                                                                         |          3 |         91 |          0 |          3 |         94 |
| _deps/googletest-src/.github/ISSUE_TEMPLATE                                                                                                                          |          3 |         91 |          0 |          3 |         94 |
| _deps/googletest-src/ci                                                                                                                                              |          3 |        206 |         78 |         31 |        315 |
| _deps/googletest-src/docs                                                                                                                                            |         24 |     10,237 |          6 |      3,144 |     13,387 |
| _deps/googletest-src/docs (Files)                                                                                                                                    |         15 |      7,765 |          2 |      2,106 |      9,873 |
| _deps/googletest-src/docs/_data                                                                                                                                      |          1 |         43 |          0 |          1 |         44 |
| _deps/googletest-src/docs/_layouts                                                                                                                                   |          1 |         57 |          0 |          2 |         59 |
